a|\ˈā\
rembrandt|\ˈrem-ˌbrant also -ˌbränt\
remediable|\ri-ˈmē-dē-ə-bəl\
remedial|\ri-ˈmē-dē-əl\
remedially|\ri-ˈmē-dē-əl\
remedied|\ˈre-mə-dē\
remedies|\ˈre-mə-dē\
remediless|\ˈre-mə-dē\
remedy|\ˈre-mə-dē\
remedying|\ˈre-mə-dē\
remember|\ri-ˈmem-bər\
rememberable|\ri-ˈmem-bər\
remembered|\ri-ˈmem-bər\
rememberer|\ri-ˈmem-bər\
rememberers|\ri-ˈmem-bər\
remembering|\ri-ˈmem-bər\
remembers|\ri-ˈmem-bər\
remembrance|\ri-ˈmem-brən(t)s also -bə-rən(t)s\
remembrances|\ri-ˈmem-brən(t)s also -bə-rən(t)s\
remind|\ri-ˈmīnd\
reminded|\ri-ˈmīnd\
reminder|\ri-ˈmīnd\
reminders|\ri-ˈmīnd\
reminding|\ri-ˈmīnd\
reminds|\ri-ˈmīnd\
reminisce|\ˌre-mə-ˈnis\
reminisced|\ˌre-mə-ˈnis\
reminiscence|\-ˈni-sən(t)s\
reminiscences|\-ˈni-sən(t)s\
reminiscent|\-sənt\
reminiscently|\-sənt\
reminisces|\ˌre-mə-ˈnis\
reminiscing|\ˌre-mə-ˈnis\
remiss|\ri-ˈmis\
remission|\ri-ˈmi-shən\
remissions|\ri-ˈmi-shən\
remissly|\ri-ˈmis\
remissness|\ri-ˈmis\
remit|\ri-ˈmit\
remits|\ri-ˈmit\
remittals|\ri-ˈmi-təl\
remittance|\ri-ˈmi-tən(t)s\
remittances|\ri-ˈmi-tən(t)s\
remitted|\ri-ˈmit\
remittent|\ri-ˈmi-tənt\
remitter|\ri-ˈmit\
remitters|\ri-ˈmit\
remitting|\ri-ˈmit\
remix|\(ˈ)rē-ˈmiks\
remixed|\(ˈ)rē-ˈmiks\
remixes|\(ˈ)rē-ˈmiks\
remixing|\(ˈ)rē-ˈmiks\
remnant|\ˈrem-nənt\
remnants|\ˈrem-nənt\
remodel|\(ˌ)rē-ˈmä-dəl\
remodeled|\(ˌ)rē-ˈmä-dəl\
remodeling|\(ˌ)rē-ˈmä-dəl\
remodelled|\(ˌ)rē-ˈmä-dəl\
remodelling|\(ˌ)rē-ˈmä-dəl\
remodels|\(ˌ)rē-ˈmä-dəl\
remonstrance|\ri-ˈmän(t)-strən(t)s\
remonstrances|\ri-ˈmän(t)-strən(t)s\
remonstrant|\-strənt\
remonstrantly|\-strənt\
remonstrate|\ˈre-mən-ˌstrāt, ri-ˈmän-\
remonstrated|\ˈre-mən-ˌstrāt, ri-ˈmän-\
remonstrates|\ˈre-mən-ˌstrāt, ri-ˈmän-\
remonstrating|\ˈre-mən-ˌstrāt, ri-ˈmän-\
remonstration|\ˈre-mən-ˌstrāt, ri-ˈmän-\
remonstrations|\ˈre-mən-ˌstrāt, ri-ˈmän-\
remonstrative|\ˈre-mən-ˌstrāt, ri-ˈmän-\
remonstrator|\ˈre-mən-ˌstrāt, ri-ˈmän-\
remonstrators|\ˈre-mən-ˌstrāt, ri-ˈmän-\
remora|\ri-ˈmȯr-ə also ˈre-mə-rə\
remoras|\ri-ˈmȯr-ə also ˈre-mə-rə\
remorse|\ri-ˈmȯrs\
remorseful|\-ˈmȯrs-fəl\
remorsefully|\-ˈmȯrs-fəl\
remorsefulness|\-ˈmȯrs-fəl\
remorseless|\-ləs\
remorselessly|\-ləs\
remorselessness|\-ləs\
remorses|\ri-ˈmȯrs\
remote|\ri-ˈmōt\
remotely|\ri-ˈmōt\
remoteness|\ri-ˈmōt\
remoter|\ri-ˈmōt\
remotest|\ri-ˈmōt\
remount|\(ˌ)rē-ˈmau̇nt\
remounted|\(ˌ)rē-ˈmau̇nt\
remounting|\(ˌ)rē-ˈmau̇nt\
remounts|\(ˌ)rē-ˈmau̇nt\
removable|\ri-ˈmüv\
removal|\ri-ˈmü-vəl\
removals|\ri-ˈmü-vəl\
remove|\ri-ˈmüv\
remover|\ri-ˈmüv\
removers|\ri-ˈmüv\
removes|\ri-ˈmüv\
removing|\ri-ˈmüv\
rems|\ˈrem\
remunerate|\ri-ˈmyü-nə-ˌrāt\
remunerated|\ri-ˈmyü-nə-ˌrāt\
remunerates|\ri-ˈmyü-nə-ˌrāt\
remunerating|\ri-ˈmyü-nə-ˌrāt\
remuneration|\ri-ˌmyü-nə-ˈrā-shən\
remunerations|\ri-ˌmyü-nə-ˈrā-shən\
remunerative|\ri-ˈmyü-nə-rə-tiv, -ˌrā-\
remuneratively|\ri-ˈmyü-nə-rə-tiv, -ˌrā-\
remunerativeness|\ri-ˈmyü-nə-rə-tiv, -ˌrā-\
remunerator|\ri-ˈmyü-nə-ˌrāt\
remunerators|\ri-ˈmyü-nə-ˌrāt\
remuneratory|\ri-ˈmyü-nə-ˌrāt\
renaissance|\ˌre-nə-ˈsän(t)s, -ˈzän(t)s, -ˈsäⁿs, -ˈzäⁿs, ˈre-nə-ˌ, chiefly British ri-ˈnā-sən(t)s\
renal|\ˈrē-nəl\
renascence|\ri-ˈna-sən(t)s, -ˈnā-\
renascences|\ri-ˈna-sən(t)s, -ˈnā-\
renascent|\-sənt\
rencounter|\ren-ˈkau̇n-tər\
rencounters|\räⁿ-ˈkōⁿtrə, ren-ˈkän-tər\
rend|\ˈrend\
rended|\ˈrend\
render|\ˈren-dər\
rendered|\ˈren-dər\
renderer|\ˈren-dər\
renderers|\ˈren-dər\
rendering|\ˈren-dər\
renders|\ˈren-dər\
rendezvous|\ˈrän-di-ˌvü, -dā-\
rendezvoused|\ˈrän-di-ˌvü, -dā-\
rendezvouses|\ˈrän-di-ˌvü, -dā-\
rendezvousing|\ˈrän-di-ˌvü, -dā-\
rending|\ˈrend\
rendition|\ren-ˈdi-shən\
renditions|\ren-ˈdi-shən\
rends|\ˈrend\
renegade|\ˈre-ni-ˌgād\
renegades|\ˈre-ni-ˌgād\
renegading|\ˈre-ni-ˌgād\
renege|\ri-ˈneg also -ˈnāg, -ˈnig; rē-\
reneged|\ri-ˈneg also -ˈnāg, -ˈnig; rē-\
reneger|\ri-ˈneg also -ˈnāg, -ˈnig; rē-\
renegers|\ri-ˈneg also -ˈnāg, -ˈnig; rē-\
reneges|\ri-ˈneg also -ˈnāg, -ˈnig; rē-\
reneging|\ri-ˈneg also -ˈnāg, -ˈnig; rē-\
renegotiable|\ˌrē-ni-ˈgō-sh(ē-)ə-bəl\
renegotiate|\ˌrē-ni-ˈgō-shē-ˌāt\
renegotiated|\ˌrē-ni-ˈgō-shē-ˌāt\
renegotiates|\ˌrē-ni-ˈgō-shē-ˌāt\
renegotiating|\ˌrē-ni-ˈgō-shē-ˌāt\
renegotiation|\ˌrē-ni-ˈgō-shē-ˌāt\
renegotiations|\ˌrē-ni-ˈgō-shē-ˌāt\
renew|\ri-ˈnü, -ˈnyü\
renewability|\-ˈnü-ə-bəl, -ˈnyü-\
renewable|\-ˈnü-ə-bəl, -ˈnyü-\
renewal|\ri-ˈnü-əl, -ˈnyü-\
renewals|\ri-ˈnü-əl, -ˈnyü-\
renewed|\ri-ˈnü, -ˈnyü\
renewer|\ri-ˈnü, -ˈnyü\
renewers|\ri-ˈnü, -ˈnyü\
renewing|\ri-ˈnü, -ˈnyü\
renews|\ri-ˈnü, -ˈnyü\
rennet|\ˈre-nət\
rennin|\ˈre-nən\
reno|\ˈrē-(ˌ)nō\
renograms|\ˈrē-nə-ˌgram\
renoir|\ˈren-ˌwär, rən-ˈ\
renominate|\(ˌ)rē-ˈnä-mə-ˌnāt\
renominated|\(ˌ)rē-ˈnä-mə-ˌnāt\
renominates|\(ˌ)rē-ˈnä-mə-ˌnāt\
renominating|\(ˌ)rē-ˈnä-mə-ˌnāt\
renomination|\(ˌ)rē-ˈnä-mə-ˌnāt\
renominations|\(ˌ)rē-ˈnä-mə-ˌnāt\
renounce|\ri-ˈnau̇n(t)s\
renounced|\ri-ˈnau̇n(t)s\
renouncement|\ri-ˈnau̇n(t)s\
renouncements|\ri-ˈnau̇n(t)s\
renouncer|\ri-ˈnau̇n(t)s\
renouncers|\ri-ˈnau̇n(t)s\
renounces|\ri-ˈnau̇n(t)s\
renouncing|\ri-ˈnau̇n(t)s\
renovate|\ˈre-nə-ˌvāt\
renovated|\ˈre-nə-ˌvāt\
renovates|\ˈre-nə-ˌvāt\
renovating|\ˈre-nə-ˌvāt\
renovation|\ˈre-nə-ˌvāt\
renovations|\ˈre-nə-ˌvāt\
renovator|\ˈre-nə-ˌvāt\
renovators|\ˈre-nə-ˌvāt\
renown|\ri-ˈnau̇n\
renowned|\ri-ˈnau̇nd\
renowns|\ri-ˈnau̇n\
rent|\ˈrent\
rentability|\ˈrent\
rentable|\ˈrent\
rental|\ˈren-təl\
rentals|\ˈren-təl\
rented|\ˈrent\
renter|\ˈren-tər\
renters|\ˈren-tər\
renting|\ˈrent\
rents|\ˈrent\
renunciation|\ri-ˌnən(t)-sē-ˈā-shən\
renunciations|\ri-ˌnən(t)-sē-ˈā-shən\
renunciatory|\ri-ˌnən(t)-sē-ˈā-shən\
reopen|\(ˌ)rē-ˈō-pən, -ˈō-pəm\
reopened|\(ˌ)rē-ˈō-pən, -ˈō-pəm\
reopening|\(ˌ)rē-ˈō-pən, -ˈō-pəm\
reopens|\(ˌ)rē-ˈō-pən, -ˈō-pəm\
reorder|\(ˌ)rē-ˈȯr-dər\
reordered|\(ˌ)rē-ˈȯr-dər\
reordering|\(ˌ)rē-ˈȯr-dər\
reorders|\(ˌ)rē-ˈȯr-dər\
reorganization|\(ˌ)rē-ˌȯr-gə-nə-ˈzā-shən, -ˌȯrg-nə-\
reorganizations|\(ˌ)rē-ˌȯr-gə-nə-ˈzā-shən, -ˌȯrg-nə-\
reorganize|\(ˌ)rē-ˈȯr-gə-ˌnīz\
reorganized|\(ˌ)rē-ˈȯr-gə-ˌnīz\
reorganizer|\(ˌ)rē-ˈȯr-gə-ˌnīz\
reorganizers|\(ˌ)rē-ˈȯr-gə-ˌnīz\
reorganizes|\(ˌ)rē-ˈȯr-gə-ˌnīz\
reorganizing|\(ˌ)rē-ˈȯr-gə-ˌnīz\
rep|\ˈrep\
repackage|\(ˌ)rē-ˈpa-kij\
repackaged|\(ˌ)rē-ˈpa-kij\
repackages|\(ˌ)rē-ˈpa-kij\
repackaging|\(ˌ)rē-ˈpa-kij\
repaid|\(ˌ)rē-ˈpā\
repair|\ri-ˈper\
repairable|\ri-ˈper\
repaired|\ri-ˈper\
repairer|\ri-ˈper\
repairers|\ri-ˈper\
repairing|\ri-ˈper\
repairman|\ri-ˈper-ˌman, -mən\
repairmen|\ri-ˈper-ˌman, -mən\
repairs|\ri-ˈper\
reparable|\ˈre-p(ə-)rə-bəl\
reparation|\ˌre-pə-ˈrā-shən\
reparations|\ˌre-pə-ˈrā-shən\
reparative|\ri-ˈpa-rə-tiv\
repartee|\ˌre-pər-ˈtē, -ˌpär-, -ˈtā\
repartees|\ˌre-pər-ˈtē, -ˌpär-, -ˈtā\
repartition|\ˌre-ˌpär-ˈti-shən, ˌrē-\
repass|\(ˌ)rē-ˈpas\
repassed|\(ˌ)rē-ˈpas\
repasses|\(ˌ)rē-ˈpas\
repassing|\(ˌ)rē-ˈpas\
repast|\ri-ˈpast, ˈrē-ˌ\
repasted|\ri-ˈpast, ˈrē-ˌ\
repasting|\ri-ˈpast, ˈrē-ˌ\
repasts|\ri-ˈpast, ˈrē-ˌ\
repatriate|\(ˌ)rē-ˈpā-trē-ˌāt, -ˈpa-\
repatriated|\(ˌ)rē-ˈpā-trē-ˌāt, -ˈpa-\
repatriates|\(ˌ)rē-ˈpā-trē-ˌāt, -ˈpa-\
repatriating|\(ˌ)rē-ˈpā-trē-ˌāt, -ˈpa-\
repatriation|\(ˌ)rē-ˈpā-trē-ˌāt, -ˈpa-\
repatriations|\(ˌ)rē-ˈpā-trē-ˌāt, -ˈpa-\
repay|\(ˌ)rē-ˈpā\
repayable|\(ˌ)rē-ˈpā\
repaying|\(ˌ)rē-ˈpā\
repayment|\(ˌ)rē-ˈpā\
repayments|\(ˌ)rē-ˈpā\
repays|\(ˌ)rē-ˈpā\
repeal|\ri-ˈpēl\
repealable|\ri-ˈpēl\
repealed|\ri-ˈpēl\
repealer|\ri-ˈpē-lər\
repealers|\ri-ˈpē-lər\
repealing|\ri-ˈpēl\
repeals|\ri-ˈpēl\
repeat|\ri-ˈpēt\
repeatability|\ri-ˈpēt\
repeatable|\ri-ˈpēt\
repeated|\ri-ˈpē-təd\
repeater|\ri-ˈpē-tər\
repeaters|\ri-ˈpē-tər\
repeating|\ri-ˈpē-tiŋ\
repeats|\ri-ˈpēt\
repel|\ri-ˈpel\
repellant|\ri-ˈpe-lənt\
repelled|\ri-ˈpel\
repellency|\ri-ˈpe-lən(t)-sē\
repellent|\ri-ˈpe-lənt\
repellently|\ri-ˈpe-lənt\
repellents|\ri-ˈpe-lənt\
repeller|\ri-ˈpel\
repellers|\ri-ˈpel\
repelling|\ri-ˈpel\
repels|\ri-ˈpel\
repent|\ri-ˈpent\
repentance|\ri-ˈpen-tən(t)s\
repentant|\-tənt\
repentantly|\-tənt\
repented|\ri-ˈpent\
repenter|\ri-ˈpent\
repenters|\ri-ˈpent\
repenting|\ri-ˈpent\
repents|\ri-ˈpent\
repercussion|\ˌrē-pər-ˈkə-shən, ˌre-\
repercussions|\ˌrē-pər-ˈkə-shən, ˌre-\
repercussive|\ˌrē-pər-ˈkə-shən, ˌre-\
repertoire|\ˈre-pə(r)-ˌtwär\
repertoires|\ˈre-pə(r)-ˌtwär\
repertories|\ˈre-pə(r)-ˌtȯr-ē\
repertory|\ˈre-pə(r)-ˌtȯr-ē\
repetition|\ˌre-pə-ˈti-shən\
repetitions|\ˌre-pə-ˈti-shən\
repetitious|\-ˈti-shəs\
repetitiously|\-ˈti-shəs\
repetitiousness|\-ˈti-shəs\
repetitive|\ri-ˈpe-tə-tiv\
repetitively|\ri-ˈpe-tə-tiv\
repetitiveness|\ri-ˈpe-tə-tiv\
repine|\ri-ˈpīn\
repined|\ri-ˈpīn\
repiner|\ri-ˈpīn\
repiners|\ri-ˈpīn\
repines|\ri-ˈpīn\
repining|\ri-ˈpīn\
replace|\ri-ˈplās\
replaceable|\ri-ˈplās\
replaced|\ri-ˈplās\
replacement|\ri-ˈplās-mənt\
replacements|\ri-ˈplās-mənt\
replacer|\ri-ˈplās\
replacers|\ri-ˈplās\
replaces|\ri-ˈplās\
replacing|\ri-ˈplās\
replant|\(ˌ)rē-ˈplant\
replanted|\(ˌ)rē-ˈplant\
replanting|\(ˌ)rē-ˈplant\
replants|\(ˌ)rē-ˈplant\
replay|\(ˌ)rē-ˈplā\
replayed|\(ˌ)rē-ˈplā\
replaying|\(ˌ)rē-ˈplā\
replays|\(ˌ)rē-ˈplā\
replenish|\ri-ˈple-nish\
replenished|\ri-ˈple-nish\
replenisher|\ri-ˈple-nish\
replenishers|\ri-ˈple-nish\
replenishes|\ri-ˈple-nish\
replenishing|\ri-ˈple-nish\
replenishment|\ri-ˈple-nish\
replete|\ri-ˈplēt\
repleteness|\ri-ˈplēt\
repletion|\ri-ˈplē-shən\
replica|\ˈre-pli-kə\
replicas|\ˈre-pli-kə\
replicate|\ˈre-plə-ˌkāt\
replicated|\ˈre-plə-ˌkāt\
replicates|\ˈre-plə-ˌkāt\
replicating|\ˈre-plə-ˌkāt\
replication|\ˌre-plə-ˈkā-shən\
replications|\ˌre-plə-ˈkā-shən\
replicative|\ˈre-pli-ˌkā-tiv\
replied|\ri-ˈplī\
replier|\ri-ˈplī\
repliers|\ri-ˈplī\
replies|\ri-ˈplī\
reply|\ri-ˈplī\
replying|\ri-ˈplī\
report|\ri-ˈpȯrt\
reportable|\ri-ˈpȯr-tə-bəl\
reportage|\ri-ˈpȯr-tij, especially for 2 ˌre-pər-ˈtäzh, ˌre-ˌpȯr-ˈ\
reportages|\ri-ˈpȯr-tij, especially for 2 ˌre-pər-ˈtäzh, ˌre-ˌpȯr-ˈ\
reported|\ri-ˈpȯrt\
reportedly|\ri-ˈpȯr-təd-lē\
reporter|\ri-ˈpȯr-tər\
reporters|\ri-ˈpȯr-tər\
reporting|\ri-ˈpȯrt\
reportorial|\ri-ˈpȯr-tər\
reports|\ri-ˈpȯrt\
repose|\ri-ˈpōz\
reposed|\ri-ˈpōz\
reposeful|\ri-ˈpōz-fəl\
reposes|\ri-ˈpōz\
reposing|\ri-ˈpōz\
reposition|\ˌrē-pə-ˈzi-shən, ˌre-\
repositioned|\ˌrē-pə-ˈzi-shən, ˌre-\
repositioning|\ˌrē-pə-ˈzi-shən, ˌre-\
repositories|\ri-ˈpä-zə-ˌtȯr-ē\
repository|\ri-ˈpä-zə-ˌtȯr-ē\
repossess|\ˌrē-pə-ˈzes also -ˈses\
repossessed|\ˌrē-pə-ˈzes also -ˈses\
repossesses|\ˌrē-pə-ˈzes also -ˈses\
repossessing|\ˌrē-pə-ˈzes also -ˈses\
repossession|\ˌrē-pə-ˈzes also -ˈses\
repossessions|\ˌrē-pə-ˈzes also -ˈses\
repossessor|\ˌrē-pə-ˈzes also -ˈses\
repousses|\rə-ˌpü-ˈsā, -ˈpü-ˌ\
repowering|\(ˌ)rē-ˈpau̇(-ə)r\
reprehend|\ˌre-pri-ˈhend\
reprehended|\ˌre-pri-ˈhend\
reprehending|\ˌre-pri-ˈhend\
reprehends|\ˌre-pri-ˈhend\
reprehensible|\ˌre-pri-ˈhen(t)-sə-bəl\
reprehensibly|\ˌre-pri-ˈhen(t)-sə-bəl\
reprehension|\-ˈhen(t)-shən\
represent|\ˌre-pri-ˈzent\
representable|\ˌre-pri-ˈzent\
representation|\ˌre-pri-ˌzen-ˈtā-shən, -zən-\
representational|\ˌre-pri-ˌzen-ˈtā-shən, -zən-\
representations|\ˌre-pri-ˌzen-ˈtā-shən, -zən-\
representative|\ˌre-pri-ˈzen-tə-tiv\
representatively|\ˌre-pri-ˈzen-tə-tiv\
representatives|\ˌre-pri-ˈzen-tə-tiv\
represented|\ˌre-pri-ˈzent\
representing|\ˌre-pri-ˈzent\
represents|\ˌre-pri-ˈzent\
repress|\ri-ˈpres\
repressed|\ri-ˈprest\
represses|\ri-ˈpres\
repressibilities|\ri-ˈpres\
repressibility|\ri-ˈpres\
repressible|\ri-ˈpres\
repressing|\ri-ˈpres\
repression|\ri-ˈpre-shən\
repressions|\ri-ˈpre-shən\
repressive|\ri-ˈpres\
repressively|\ri-ˈpres\
repressiveness|\ri-ˈpres\
repressor|\ri-ˈpre-sər\
reprieval|\ri-ˈprē-vəl\
reprieve|\ri-ˈprēv\
reprieved|\ri-ˈprēv\
reprieves|\ri-ˈprēv\
reprieving|\ri-ˈprēv\
reprimand|\ˈre-prə-ˌmand\
reprimanded|\ˈre-prə-ˌmand\
reprimanding|\ˈre-prə-ˌmand\
reprimands|\ˈre-prə-ˌmand\
reprint|\(ˌ)rē-ˈprint\
reprinted|\(ˌ)rē-ˈprint\
reprinter|\(ˌ)rē-ˈprin-tər\
reprinting|\(ˌ)rē-ˈprint\
reprints|\(ˌ)rē-ˈprint\
reprisal|\ri-ˈprī-zəl\
reprisals|\ri-ˈprī-zəl\
reprise|\ri-ˈprēz, 1 is also -ˈprīz\
reprised|\ri-ˈprēz, 1 is also -ˈprīz\
reprises|\ri-ˈprēz, 1 is also -ˈprīz\
reprising|\ri-ˈprēz, 1 is also -ˈprīz\
repro|\ˈrē-(ˌ)prō\
reproach|\ri-ˈprōch\
reproachable|\ri-ˈprōch\
reproached|\ri-ˈprōch\
reproacher|\ri-ˈprōch\
reproaches|\ri-ˈprōch\
reproachful|\ri-ˈprōch\
reproachfully|\ri-ˈprōch\
reproachfulness|\ri-ˈprōch\
reproaching|\ri-ˈprōch\
reproachingly|\ri-ˈprōch\
reprobate|\ˈre-prə-ˌbāt\
reprobated|\ˈre-prə-ˌbāt\
reprobates|\ˈre-prə-ˌbāt\
reprobating|\ˈre-prə-ˌbāt\
reprobation|\ˌre-prə-ˈbā-shən\
reprobative|\ˈre-prə-ˌbāt\
reprocess|\(ˌ)rē-ˈprä-ˌses, -ˈprō-, -səs\
reprocessed|\(ˌ)rē-ˈprä-ˌses, -ˈprō-, -səs\
reprocesses|\(ˌ)rē-ˈprä-ˌses, -ˈprō-, -səs\
reprocessing|\(ˌ)rē-ˈprä-ˌses, -ˈprō-, -səs\
reproduce|\ˌrē-prə-ˈdüs, -ˈdyüs\
reproduced|\ˌrē-prə-ˈdüs, -ˈdyüs\
reproducer|\ˌrē-prə-ˈdüs, -ˈdyüs\
reproducers|\ˌrē-prə-ˈdüs, -ˈdyüs\
reproduces|\ˌrē-prə-ˈdüs, -ˈdyüs\
reproducible|\ˌrē-prə-ˈdüs, -ˈdyüs\
reproducing|\ˌrē-prə-ˈdüs, -ˈdyüs\
reproduction|\ˌrē-prə-ˈdək-shən\
reproductions|\ˌrē-prə-ˈdək-shən\
reproductive|\ˌrē-prə-ˈdək-tiv\
reproductively|\ˌrē-prə-ˈdək-tiv\
reprogram|\(ˌ)rē-ˈprō-ˌgram, -grəm\
reprogrammed|\(ˌ)rē-ˈprō-ˌgram, -grəm\
reprogramming|\(ˌ)rē-ˈprō-ˌgram, -grəm\
reprography|\ri-ˈprä-grə-fē\
reproof|\ri-ˈprüf\
reproofs|\ri-ˈprüf\
reprove|\ri-ˈprüv\
reproved|\ri-ˈprüv\
reprover|\ri-ˈprüv\
reprovers|\ri-ˈprüv\
reproves|\ri-ˈprüv\
reproving|\ri-ˈprüv\
reprovingly|\ri-ˈprüv\
reps|\ˈrep\
reptile|\ˈrep-ˌtī(-ə)l, -təl\
reptiles|\ˈrep-ˌtī(-ə)l, -təl\
reptilian|\rep-ˈti-lē-ən, -ˈtil-yən\
reptilians|\rep-ˈti-lē-ən, -ˈtil-yən\
republic|\ri-ˈpə-blik\
republican|\ri-ˈpə-bli-kən\
republicanism|\ri-ˈpə-bli-kə-ˌni-zəm\
republicans|\ri-ˈpə-bli-kən\
republication|\(ˌ)rē-ˌpə-blə-ˈkā-shən\
republics|\ri-ˈpə-blik\
republish|\(ˌ)rē-ˈpə-blish\
republished|\(ˌ)rē-ˈpə-blish\
republishes|\(ˌ)rē-ˈpə-blish\
republishing|\(ˌ)rē-ˈpə-blish\
repudiate|\ri-ˈpyü-dē-ˌāt\
repudiated|\ri-ˈpyü-dē-ˌāt\
repudiates|\ri-ˈpyü-dē-ˌāt\
repudiating|\ri-ˈpyü-dē-ˌāt\
repudiation|\ri-ˌpyü-dē-ˈā-shən\
repudiations|\ri-ˌpyü-dē-ˈā-shən\
repudiator|\ri-ˈpyü-dē-ˌāt\
repudiators|\ri-ˈpyü-dē-ˌāt\
repugnance|\ri-ˈpəg-nən(t)s\
repugnancy|\-nən(t)-sē\
repugnant|\-nənt\
repugnantly|\-nənt\
repugned|\ri-ˈpyün\
repulse|\ri-ˈpəls\
repulsed|\ri-ˈpəls\
repulses|\ri-ˈpəls\
repulsing|\ri-ˈpəls\
repulsion|\ri-ˈpəl-shən\
repulsions|\ri-ˈpəl-shən\
repulsive|\-siv\
repulsively|\-siv\
repulsiveness|\-siv\
reputability|\ˈre-pyə-tə-bəl\
reputable|\ˈre-pyə-tə-bəl\
reputably|\ˈre-pyə-tə-bəl\
reputation|\ˌre-pyə-ˈtā-shən\
reputations|\ˌre-pyə-ˈtā-shən\
repute|\ri-ˈpyüt\
reputes|\ri-ˈpyüt\
reputing|\ri-ˈpyüt\
request|\ri-ˈkwest\
requested|\ri-ˈkwest\
requester|\ri-ˈkwest\
requesters|\ri-ˈkwest\
requesting|\ri-ˈkwest\
requestor|\ri-ˈkwest\
requestors|\ri-ˈkwest\
requests|\ri-ˈkwest\
requiem|\ˈre-kwē-əm also ˈrā- or ˈrē-\
requiems|\ˈre-kwē-əm also ˈrā- or ˈrē-\
requiescat|\ˌre-kwē-ˈes-ˌkät, -ˌkat; ˌrā-kwē-ˈes-ˌkät\
require|\ri-ˈkwī(-ə)r\
required|\ri-ˈkwī(-ə)r\
requirement|\-ˈkwī(-ə)r-mənt\
requirements|\-ˈkwī(-ə)r-mənt\
requires|\ri-ˈkwī(-ə)r\
requiring|\ri-ˈkwī(-ə)r\
requisite|\ˈre-kwə-zət\
requisiteness|\ˈre-kwə-zət\
requisites|\ˈre-kwə-zət\
requisition|\ˌre-kwə-ˈzi-shən\
requisitioned|\ˌre-kwə-ˈzi-shən\
requisitioning|\ˌre-kwə-ˈzi-shən\
requisitions|\ˌre-kwə-ˈzi-shən\
requital|\ri-ˈkwī-təl\
requitals|\ri-ˈkwī-təl\
requite|\ri-ˈkwīt\
requited|\ri-ˈkwīt\
requiter|\ri-ˈkwīt\
requiters|\ri-ˈkwīt\
requites|\ri-ˈkwīt\
requiting|\ri-ˈkwīt\
reradiate|\(ˌ)rē-ˈrā-dē-ˌāt\
reradiated|\(ˌ)rē-ˈrā-dē-ˌāt\
reradiates|\(ˌ)rē-ˈrā-dē-ˌāt\
reradiating|\(ˌ)rē-ˈrā-dē-ˌāt\
reran|\(ˌ)rē-ˈrən\
reredos|\ˈrer-ə-ˌdäs also ˈrir-ə-ˌdäs or ˈrir-ˌdäs\
reredoses|\ˈrer-ə-ˌdäs also ˈrir-ə-ˌdäs or ˈrir-ˌdäs\
rerun|\(ˌ)rē-ˈrən\
rerunning|\(ˌ)rē-ˈrən\
reruns|\(ˌ)rē-ˈrən\
resalable|\(ˌ)rē-ˈsā-lə-bəl\
resale|\ˈrē-ˌsāl, (ˌ)rē-ˈsāl\
resales|\ˈrē-ˌsāl, (ˌ)rē-ˈsāl\
reschedule|\(ˌ)rē-ˈske-(ˌ)jül, -jəl, Canada also -ˈshe-, British usually -ˈshe-(ˌ)dyül\
rescheduled|\(ˌ)rē-ˈske-(ˌ)jül, -jəl, Canada also -ˈshe-, British usually -ˈshe-(ˌ)dyül\
reschedules|\(ˌ)rē-ˈske-(ˌ)jül, -jəl, Canada also -ˈshe-, British usually -ˈshe-(ˌ)dyül\
rescheduling|\(ˌ)rē-ˈske-(ˌ)jül, -jəl, Canada also -ˈshe-, British usually -ˈshe-(ˌ)dyül\
rescind|\ri-ˈsind\
rescinded|\ri-ˈsind\
rescinder|\ri-ˈsind\
rescinding|\ri-ˈsind\
rescindment|\ri-ˈsind\
rescinds|\ri-ˈsind\
rescission|\ri-ˈsi-zhən\
rescissions|\ri-ˈsi-zhən\
rescript|\ˈrē-ˌskript\
rescripts|\ˈrē-ˌskript\
rescue|\ˈres-(ˌ)kyü\
rescued|\ˈres-(ˌ)kyü\
rescuer|\ˈres-(ˌ)kyü\
rescuers|\ˈres-(ˌ)kyü\
rescues|\ˈres-(ˌ)kyü\
rescuing|\ˈres-(ˌ)kyü\
research|\ri-ˈsərch, ˈrē-ˌ\
researched|\ri-ˈsərch, ˈrē-ˌ\
researcher|\ri-ˈsərch, ˈrē-ˌ\
researchers|\ri-ˈsərch, ˈrē-ˌ\
researches|\ri-ˈsərch, ˈrē-ˌ\
researching|\ri-ˈsərch, ˈrē-ˌ\
resectabilities|\ri-ˈsekt\
resection|\ri-ˈsek-shən\
resections|\ri-ˈsek-shən\
reseed|\(ˌ)rē-ˈsēd\
reseeded|\(ˌ)rē-ˈsēd\
reseeding|\(ˌ)rē-ˈsēd\
reseeds|\(ˌ)rē-ˈsēd\
resemblance|\ri-ˈzem-blən(t)s\
resemblances|\ri-ˈzem-blən(t)s\
resemble|\ri-ˈzem-bəl\
resembled|\ri-ˈzem-bəl\
resembles|\ri-ˈzem-bəl\
resembling|\ri-ˈzem-bəl\
resent|\ri-ˈzent\
resented|\ri-ˈzent\
resentful|\-fəl\
resentfully|\-fəl\
resentfulness|\-fəl\
resenting|\ri-ˈzent\
resentment|\ri-ˈzent-mənt\
